總編號,縣市,城市編號,機構名稱,區號,地址,緯度,經度,電話,執行酒癮治療費用補助方案,執行酒駕酒癮評估,緯度.1,經度.1,district
1,新北市,1,新北市立聯合醫院(板橋院區),220,新北市板橋區英士路198號,25.0232911,121.4574246,02-29829111#6070,V,V,25.0232911,121.4574246,板橋區
2,,2,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,220,新北市板橋區南雅南路二段21號 ,24.997236,121.4532954,02-77282186或02-77282885,V,V,24.997236,121.4532954,板橋區
3,,3,國泰醫療財團法人汐止國泰綜合醫院,221,新北市汐止區建成路59巷2號,25.0729852,121.6609281,02-26482121#3618,V,V,25.0729852,121.6609281,汐止區
4,,4,楊聰才診所,231,新北市新店區中興路2段239號2樓,24.9752824,121.5474862,0939-590-509,V,,24.9752824,121.5474862,新店區
5,,5,佛教慈濟醫療財團法人臺北慈濟醫院,231,新北市新店區建國路289號,24.9861221,121.5355355,02-66289779#3868,V,V,24.9861221,121.5355355,新店區
6,,6,天主教耕莘醫療財團法人耕莘醫院,231,新北市新店區中正路362號,24.9763593,121.5359298,02-22193391#66908,V,V,24.9763593,121.5359298,新店區
7,,7,衛生福利部雙和醫院(委託臺北醫學大學興建經營),235,新北市中和區中正路291號,24.9927442,121.4936559,02-22490088,V,V,24.9927442,121.4936559,中和區
8,,8,衛生福利部八里療養院(土城門診),236,新北市土城區青雲路6號1樓,24.9895233,121.4600018,02-22745250,V,V,24.9895233,121.4600018,土城區
9,,9,新北市立聯合醫院(三重院區),241,新北市三重區新北大道一段3號,25.0609301,121.4902027,02-29829111#6070,V,V,25.0609301,121.4902027,三重區
10,,10,安興精神科診所,241,新北市三重區重新路三段132號,25.0597708,121.4917119,02-29743029,V,,25.0597708,121.4917119,三重區
11,,11,恆友精神科診所,242,新北市新莊區幸福東路135號,25.0492987,121.4609055,02-22907909,V,,25.0492987,121.4609055,新莊區
12,,12,天主教輔仁大學附設醫院,243,新北市泰山區貴子路69號,25.0404811,121.4314868,02-85128888#25269,V,V,25.0404811,121.4314868,泰山區
13,,13,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院(淡水院區),251,新北市淡水區民權路47號,25.138576,121.4611268,02-28094661#2727,V,,25.138576,121.4611268,淡水區
14,臺北市,1,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院(臺北院區),104,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-25433535#3683,V,V,25.0588457,121.5223977,中山區
15,,2,財團法人長庚紀念醫院(臺北院區),105,臺北市松山區敦化北路199號,25.0556512,121.5493054,03-3281200#5102,V,V,25.0556512,121.5493054,松山區
16,,3,李政洋身心診所,105,臺北市松山區三民路84號,25.0565326,121.5638256,02-27620086或0976-065477,V,,25.0565326,121.5638256,松山區
17,,4,國泰醫療財團法人國泰綜合醫院,106,臺北市仁愛路四段280號,25.0364269,121.5547681,02-26482121#3619,V,V,25.0364269,121.5547681,
18,,5,交感身心診所,106,臺北市大安區信義路四段143號4樓,25.0334604,121.5495463,02-77306840,V,,25.0334604,121.5495463,大安區
19,,6,中崙諮商中心心理諮商所,106,臺北市大安區忠孝東路三段54號4樓-1,25.0417076,121.5355866,02-27319731,V,,25.0417076,121.5355866,大安區
20,,7,臺北醫學大學附設醫院,110,臺北市信義區吳興街252號,25.0269555,121.563012,02-27372181#1217,V,V,25.0269555,121.563012,信義區
21,,8,臺北市立聯合醫院(松德院區),110,臺北市信義區松德路309號,25.0292132,121.5745193,02-27285791,V,V,25.0292132,121.5745193,信義區
22,,9,臺北榮民總醫院,112,臺北市北投區石牌路二段201號,25.1208483,121.5227627,02-2875-7027#101,V,V,25.1208483,121.5227627,北投區
23,,10,臺北市立關渡醫院,112,臺北市北投區知行路225巷12號,25.1206037,121.4661496,02-28587151,V,V,25.1206037,121.4661496,北投區
24,,11,新光醫療財團法人新光吳火獅紀念醫院,111,臺北市士林區文昌路95號,25.0964085,121.520938,02-28332211#8466,V,V,25.0964085,121.520938,士林區
25,,12,三軍總醫院附設民眾診療服務處,114,臺北市內湖區成功路二段325號,25.0733691,121.5959272,02-87923311#17398,V,V,25.0733691,121.5959272,內湖區
26,,13,臺北市立萬芳醫院,116,臺北市文山區興隆路三段111號,25.0004801,121.5584967,02-29307930#1281,V,V,25.0004801,121.5584967,文山區
27,,14,利伯他茲心理諮商所,116,臺北市文山區木柵路二段62號2樓,24.9886177,121.5592328,02-2936-1183,V,,24.9886177,121.5592328,文山區
